                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.3547,                0.64196,                  0.986,                0.87067,                0.66715,                 0.7459,                0.40998,                 1.3571,                0.58612,                0.96545,              0.0010454,              0.0010454,              0.0010454
                     82,                 1.3473,                 0.6375,                0.98329,                 0.8721,                0.66477,                 0.7453,                0.40975,                 1.3569,                0.58542,                0.96549,             0.00095595,             0.00095595,             0.00095595
                     83,                 1.3486,                0.63795,                0.98717,                 0.8731,                 0.6657,                0.74574,                0.40978,                 1.3579,                0.58538,                0.96567,             0.00087058,             0.00087058,             0.00087058
                     84,                  1.345,                0.63555,                0.98325,                0.87639,                0.66134,                0.74485,                0.40967,                 1.3566,                0.58486,                0.96566,             0.00078933,             0.00078933,             0.00078933
                     85,                  1.346,                0.63837,                0.98482,                0.88332,                 0.6589,                0.74637,                0.41042,                 1.3554,                0.58472,                0.96586,             0.00071228,             0.00071228,             0.00071228
                     86,                 1.3574,                0.64333,                0.98393,                0.87779,                0.66342,                0.74637,                0.40951,                 1.3566,                0.58492,                0.96629,             0.00063952,             0.00063952,             0.00063952
                     87,                 1.3315,                0.62806,                 0.9842,                0.87827,                0.66216,                0.74597,                0.40965,                 1.3567,                0.58495,                0.96632,             0.00057111,             0.00057111,             0.00057111
                     88,                 1.3424,                0.63472,                0.98227,                0.87731,                0.66462,                 0.7461,                0.41021,                 1.3571,                 0.5849,                0.96632,             0.00050711,             0.00050711,             0.00050711
                     89,                  1.349,                0.63596,                0.98201,                0.87595,                0.66452,                0.74629,                 0.4101,                  1.356,                0.58494,                0.96654,             0.00044761,             0.00044761,             0.00044761
                     90,                 1.3385,                0.63068,                0.97928,                0.87852,                0.66445,                0.74683,                0.41043,                 1.3562,                0.58466,                0.96694,             0.00039264,             0.00039264,             0.00039264
                     91,                 1.3548,                0.63693,                0.98284,                 0.8796,                0.66473,                0.74744,                0.41112,                  1.355,                0.58367,                0.96691,             0.00034227,             0.00034227,             0.00034227
                     92,                 1.3462,                 0.6343,                0.98276,                0.87148,                 0.6703,                0.74711,                0.41145,                 1.3548,                0.58337,                0.96714,             0.00029655,             0.00029655,             0.00029655
                     93,                 1.3383,                0.62065,                0.99682,                0.87342,                0.67044,                0.74658,                0.41134,                 1.3536,                0.58415,                0.96713,             0.00025551,             0.00025551,             0.00025551
                     94,                 1.3318,                0.61492,                0.99493,                0.87831,                0.66376,                0.74472,                0.41108,                 1.3532,                0.58428,                0.96658,             0.00021921,             0.00021921,             0.00021921
                     95,                 1.3269,                0.61297,                0.99431,                0.87758,                0.66492,                 0.7448,                0.41124,                 1.3539,                0.58518,                0.96657,             0.00018768,             0.00018768,             0.00018768
                     96,                 1.3322,                0.61502,                0.99318,                0.87847,                0.66463,                0.74437,                0.41183,                 1.3527,                0.58516,                 0.9664,             0.00016094,             0.00016094,             0.00016094
                     97,                 1.3236,                0.60855,                0.99239,                0.87891,                0.66386,                0.74356,                0.41166,                 1.3541,                0.58598,                0.96648,             0.00013903,             0.00013903,             0.00013903
                     98,                 1.3264,                0.61043,                0.99242,                0.87848,                0.66396,                0.74339,                 0.4115,                 1.3539,                 0.5861,                0.96651,             0.00012197,             0.00012197,             0.00012197
                     99,                 1.3259,                0.60945,                0.99236,                0.87969,                0.66521,                0.74404,                0.41173,                 1.3535,                0.58635,                0.96634,             0.00010977,             0.00010977,             0.00010977
                    100,                 1.3253,                0.61015,                0.99147,                0.87806,                0.66512,                0.74335,                0.41162,                 1.3537,                0.58641,                0.96624,             0.00010244,             0.00010244,             0.00010244
